FirstName,LastName,CompanyName,Title,Address1,City,State,Zip,phone,Email,BadgeType,UF1,UF2,UF3,UF4,DateAdded,DateUpdate,PrintDate,BadgesPrinted,BadgeID
Beula,Amyotte,Build-A-Bear Workshop,Art Director,273 RED CEDAR FORKS FRKS,PORT JERVIS,NY,12737,845-555-1212,Beula.Amyotte@test.com,Set-Up,No,Yes,Radio Ad,Shuttle bus,,2014-04-20 21:47:46,2014-04-20 21:47:46,1,200320
Felicia,Amyx,Nugget Market,Project Manager,992 PONDEROSA HAVEN HVN,CAMARILLO,CA,93041,805-555-1212,Felicia.Amyx@test.com,Exhibitor,No,No,Newspaper Ad,A friend brought me,,2014-04-20 21:50:49,2014-04-20 21:50:49,1,201775
Tarah,Ancheta,The Everett Clinic,Art Director,970 RED FEATHER STATION STA,GARBERVILLE,CA,95595,707-555-1212,Tarah.Ancheta@test.com,Set-Up,Yes,Yes,Google,I took the bus here,,2014-04-20 21:50:09,2014-04-20 21:50:09,1,201454
Sherril,Anderholm,Burns & McDonnell,Marketing Manager,268 Fourth KEYS KYS,YONKERS,NY,10543,914-555-1212,Sherril.Anderholm@test.com,Exhibitor,No,Yes,A friend told me,Shuttle bus,,2014-04-20 21:50:21,2014-04-20 21:50:21,1,201547
Francie,Andersen,Rackspace Hosting,Sales Associate,812 MEDICINE BOW FALLS FLS,CINCINNATI,OH,45439,513-555-1212,Francie.Andersen@test.com,Press,No,No,Invite,I took the bus here,,2014-04-20 21:48:57,2014-04-20 21:48:57,1,200879
Joannie,Anglum,Nugget Market,Senior Business Analyst,508 DUDLEY MALL MALL,FAYETTE,IA,52142,563-555-1212,Joannie.Anglum@test.com,Staff,No,No,Member Told me,I took a taxi here,,2014-04-20 21:47:58,2014-04-20 21:47:58,1,200414
Valentin,Annese,Genentech,Developer,879 ORILLA DEL LAGO PLAINS PLNS,STORRS,CT,06278,860-555-1212,Valentin.Annese@test.com,Attendee,No,Yes,Newspaper Ad,I drove here,,2014-04-20 21:47:53,2014-04-20 21:47:53,1,200372
Fernando,Annonio,Ernst & Young,General Manager,812 GIRAFFE LIGHT LGT,HACKLEBURG,AL,35564,205-555-1212,Fernando.Annonio@test.com,Staff,Yes,No,TV Ad,A friend brought me,,2014-04-20 21:47:14,2014-04-20 21:47:14,1,200055
Shona,Anslinger,Starbucks,IT Specialist,308 MOROCCO PLAINS PLNS,COVINGTON,GA,30056,678-555-1212,Shona.Anslinger@test.com,Speaker,No,No,Google,Shuttle bus,,2014-04-20 21:51:02,2014-04-20 21:51:02,1,201878
Carey,Anstine,Recreational Equipment (REI),Product Manager,425 MARY BEACH BCH,WOOD DALE,IL,60657,773-555-1212,Carey.Anstine@test.com,Speaker,No,Yes,Member Told me,I took a taxi here,,2014-04-20 21:50:02,2014-04-20 21:50:02,1,201397
Maryalice,Antonich,Millennium: The Takeda Oncology Co.,Engineering Manager,473 OVERLOOK CRESCENT CRES,CUSTER,SD,57735,605-555-1212,Maryalice.Antonich@test.com,Staff,No,Yes,A friend told me,I took the bus here,,2014-04-20 21:49:41,2014-04-20 21:49:41,1,201229
Garret,Antonopoulos,Nordstrom,Senior Accountant,820 WHEATFIELD UNION UN,NEWARK,IL,60551,815-555-1212,Garret.Antonopoulos@test.com,Set-Up,No,No,TV Ad,Shuttle bus,,2014-04-20 21:48:47,2014-04-20 21:48:47,1,200804
Sasha,Ao,Meridian Health,Operations Manager,804 GREYSTONE PASS PASS,BOAZ,AL,35957,256-555-1212,Sasha.Ao@test.com,Exhibitor,Yes,Yes,Member Told me,I drove here,,2014-04-20 21:49:41,2014-04-20 21:49:41,1,201231
Michelina,Apking,Nordstrom,Senior Business Analyst,154 WINONA KEY KY,PLEASANTON,CA,94585,925-555-1212,Michelina.Apking@test.com,Exhibitor,No,No,Newspaper Ad,Shuttle bus,,2014-04-20 21:48:35,2014-04-20 21:48:35,1,200706
Rene,Araldi,OhioHealth,Sales Representative,185 GOOSE HOLLOW MEADOWS MDWS,NEW YORK,NY,07074,212-555-1212,Rene.Araldi@test.com,Speaker,Yes,Yes,Radio Ad,I drove here,,2014-04-20 21:49:14,2014-04-20 21:49:14,1,201018
Suzanne,Arano,Burns & McDonnell,Principal Consultant,833 VISTA GRANDE VALLEYS VLYS,BOISE,ID,83634,208-555-1212,Suzanne.Arano@test.com,Set-Up,Yes,Yes,Member Told me,I took the bus here,,2014-04-20 21:50:08,2014-04-20 21:50:08,1,201448
Deandre,Arehart,DPR Construction,Consultant,821 CALLISTO EXTENSION EXT,BOLTON,MA,01740,978-555-1212,Deandre.Arehart@test.com,Set-Up,Yes,No,Radio Ad,I drove here,,2014-04-20 21:48:16,2014-04-20 21:48:16,1,200558
Fairy,Argandona,Quicken Loans,Member of Technical Staff,864 CHARTER OAK VILLE VL,NAPOLEONVILLE,LA,70393,985-555-1212,Fairy.Argandona@test.com,Set-Up,Yes,No,Newspaper Ad,Shuttle bus,,2014-04-20 21:47:04,2014-04-20 21:47:04,1,199977
Alla,Argentieri,Southern Ohio Medical Center,Account Manager,228 JUNIPER FOREST FRST,MICHIGANTOWN,IN,46057,765-555-1212,Alla.Argentieri@test.com,Exhibitor,No,Yes,A friend told me,Shuttle bus,,2014-04-20 21:49:33,2014-04-20 21:49:33,1,201169
Tora,Arguellez,Kimpton Hotels & Restaurants,Programmer,726 CHIPMUNK SQUARE SQ,WILLIFORD,AR,72459,870-555-1212,Tora.Arguellez@test.com,Speaker,Yes,No,Invite,I drove here,,2014-04-20 21:51:10,2014-04-20 21:51:10,1,201941
Lean,Ariola,Children's Healthcare of Atlanta,Marketing Manager,620 DEER PATH CENTERS CTRS,WALNUT,KS,66780,620-555-1212,Lean.Ariola@test.com,Exhibitor,Yes,Yes,Newspaper Ad,I took a taxi here,,2014-04-20 21:49:05,2014-04-20 21:49:05,1,200948
Erich,Arnoux,Edward Jones,Administrative Assistant,190 PINTAIL COVE PARKS PARK,CROOKS,SD,57003,605-555-1212,Erich.Arnoux@test.com,Exhibitor,No,Yes,Newspaper Ad,I drove here,,2014-04-20 21:50:37,2014-04-20 21:50:37,1,201679
Edgardo,Arns,Umpqua Bank,Art Director,497 HARDING VALLEY VLY,HUNTLEY,IL,60102,847-555-1212,Edgardo.Arns@test.com,Attendee,No,Yes,Newspaper Ad,I drove here,,2014-04-20 21:49:21,2014-04-20 21:49:21,1,201076
Sherita,Arrowood,Marriott International,Art Director,809 GOLDEN HARVEST LAKES LKS,KEANSBURG,NJ,07758,732-555-1212,Sherita.Arrowood@test.com,Attendee,Yes,Yes,A friend told me,A friend brought me,,2014-04-20 21:47:19,2014-04-20 21:47:19,1,200098
Nikita,Arslan,World Wide Technology,Mechanical Engineer,353 LANGLEY CLUB CLB,NORRISTOWN,PA,19096,610-555-1212,Nikita.Arslan@test.com,Press,Yes,No,Invite,Shuttle bus,,2014-04-20 21:48:35,2014-04-20 21:48:35,1,200713
Ruthann,Asa,Zappos.com,Mechanical Engineer,173 CHALLENGER POINT SHOALS SHLS,STAYTON,OR,97374,503-555-1212,Ruthann.Asa@test.com,Speaker,No,No,Google,A friend brought me,,2014-04-20 21:48:13,2014-04-20 21:48:13,1,200531
Loreta,Ascheman,Hasbro,Product Manager,773 GOLDENVUE PASS PASS,ENOLA,PA,17025,717-555-1212,Loreta.Ascheman@test.com,Staff,No,No,A friend told me,I took the bus here,,2014-04-20 21:47:40,2014-04-20 21:47:40,1,200266
Cassondra,Ashdown,QuikTrip,Manager,466 LEITH MOTORWAY MTWY,PHILADELPHIA,PA,19143,267-555-1212,Cassondra.Ashdown@test.com,Exhibitor,Yes,No,Newspaper Ad,I took a taxi here,,2014-04-20 21:48:46,2014-04-20 21:48:46,1,200798
Bernard,Asiello,Nugget Market,Graphic Designer,192 OTTAWA PARKS PARK,NISSWA,MN,56401,218-555-1212,Bernard.Asiello@test.com,Speaker,Yes,No,Invite,I took a taxi here,,2014-04-20 21:47:23,2014-04-20 21:47:23,1,200133
Cliff,Assenmacher,Meridian Health,Flight Attendant,569 MT BLANC POINTS PTS,ALPHA,IA,52147,563-555-1212,Cliff.Assenmacher@test.com,Staff,No,Yes,Newspaper Ad,I drove here,,2014-04-20 21:47:24,2014-04-20 21:47:24,1,200135
Alva,Assing,Ernst & Young,Cashier,290 WEST SHORE RAMP RAMP,PICKENS,MS,39079,662-555-1212,Alva.Assing@test.com,Attendee,No,No,TV Ad,Shuttle bus,,2014-04-20 21:48:44,2014-04-20 21:48:44,1,200782
Dan,Athas,Bright Horizons Family Solutions,Executive Assistant,140 WILSON LANE LN,KIRKWOOD,MO,63117,314-555-1212,Dan.Athas@test.com,Speaker,No,Yes,Email,I drove here,,2014-04-20 21:47:13,2014-04-20 21:47:13,1,200050
Kanesha,Attleson,SRC,Senior Business Analyst,781 SANPET FALL FALL,CHERRY VALLEY,NY,13320,607-555-1212,Kanesha.Attleson@test.com,Exhibitor,No,Yes,Google,I took a taxi here,,2014-04-20 21:47:50,2014-04-20 21:47:50,1,200352
Eli,Auck,KPMG,Senior Engineer,988 RED CLIFF VIEW VW,HUNTSVILLE,AL,35749,256-555-1212,Eli.Auck@test.com,Staff,No,No,Invite,I took the bus here,,2014-04-20 21:47:30,2014-04-20 21:47:30,1,200185
Zina,Aunkst,Mattel,Sales Representative,564 BLACKHAWK SHORES SHRS,DANSVILLE,NY,14517,585-555-1212,Zina.Aunkst@test.com,Set-Up,No,Yes,TV Ad,A friend brought me,,2014-04-20 21:50:50,2014-04-20 21:50:50,1,201784
Eneida,Avalos,Alston & Bird,Network Engineer,437 CLEARVIEW BRIDGE BRG,TOPEKA,KS,66615,785-555-1212,Eneida.Avalos@test.com,Set-Up,Yes,Yes,Email,I took the bus here,,2014-04-20 21:50:08,2014-04-20 21:50:08,1,201447
Lavera,Avent,Chesapeake Energy,Administrative Assistant,858 PIMLICO GARDEN GDN,ROE,AR,72064,870-555-1212,Lavera.Avent@test.com,Attendee,Yes,Yes,Invite,A friend brought me,,2014-04-20 21:47:26,2014-04-20 21:47:26,1,200155
Zula,Awong,Morningstar,Programmer Analyst,876 DANA GROVE GRV,ROCKY MOUNT,NC,27822,252-555-1212,Zula.Awong@test.com,Exhibitor,No,Yes,Google,Shuttle bus,,2014-04-20 21:47:04,2014-04-20 21:47:04,1,199980
Natividad,Babyak,SAS Institute,Account Manager,453 TORI WELL WL,MINNEAPOLIS,MN,55066,612-555-1212,Natividad.Babyak@test.com,Exhibitor,Yes,Yes,Google,Shuttle bus,,2014-04-20 21:51:06,2014-04-20 21:51:06,1,201904
Yvette,Bachan,Stryker,Analyst,249 KONA FIELD FLD,WINSTED,CT,06096,860-555-1212,Yvette.Bachan@test.com,Set-Up,No,No,Member Told me,I drove here,,2014-04-20 21:50:09,2014-04-20 21:50:09,1,201451
Alfonso,Bachler,Booz Allen Hamilton,Network Engineer,830 PECOS TRAFFICWAY TRFY,DEMING,WA,98244,360-555-1212,Alfonso.Bachler@test.com,Staff,No,No,Email,I took a taxi here,,2014-04-20 21:48:20,2014-04-20 21:48:20,1,200591
Howard,Backenstose,Nugget Market,Cashier,658 ELI REST RST,DIAMOND POINT,NY,12804,518-555-1212,Howard.Backenstose@test.com,Exhibitor,No,No,Member Told me,I drove here,,2014-04-20 21:47:54,2014-04-20 21:47:54,1,200384
Tu,Bagdasarian,Baker Donelson,Principal Engineer,364 PAIUTE SPURS SPUR,NEW YORK,NY,10014,212-555-1212,Tu.Bagdasarian@test.com,Attendee,No,No,Member Told me,I drove here,,2014-04-20 21:49:06,2014-04-20 21:49:06,1,200953
Tonya,Bagger,Scottrade,Program Manager,398 IRONWOOD LOCK LCK,FREELAND,MI,48623,989-555-1212,Tonya.Bagger@test.com,Set-Up,No,Yes,Member Told me,I drove here,,2014-04-20 21:48:26,2014-04-20 21:48:26,1,200636
Numbers,Baggette,Southern Ohio Medical Center,Senior Business Analyst,482 MOSS ROCK BOTTOM BTM,BIRMINGHAM,AL,35952,205-555-1212,Numbers.Baggette@test.com,Press,Yes,Yes,Email,I took a taxi here,,2014-04-20 21:48:25,2014-04-20 21:48:25,1,200628
Tina,Bahadue,Autodesk,Network Engineer,253 GRIFFITH MOTORWAY MTWY,HILLSVILLE,VA,24312,276-555-1212,Tina.Bahadue@test.com,Press,No,No,Newspaper Ad,I drove here,,2014-04-20 21:48:40,2014-04-20 21:48:40,1,200750
Mona,Bai,Intercontinental Hotels Group,Principal Software Engineer,432 SLEIGH RIDE SHOALS SHLS,MARTELLE,IA,52253,319-555-1212,Mona.Bai@test.com,Staff,No,Yes,Member Told me,I took the bus here,,2014-04-20 21:49:19,2014-04-20 21:49:19,1,201058
Providencia,Baillet,Whole Foods Market,Design Engineer,223 BIG CANYON PATH PATH,HUNTSVILLE,AL,35764,256-555-1212,Providencia.Baillet@test.com,Press,Yes,No,Radio Ad,I drove here,,2014-04-20 21:49:46,2014-04-20 21:49:46,1,201268
Marilou,Bakken,TDIndustries,Flight Attendant,488 HARRIMAN ISLAND IS,ST ALBANS,VT,05455,802-555-1212,Marilou.Bakken@test.com,Attendee,No,Yes,Newspaper Ad,I took the bus here,,2014-04-20 21:49:46,2014-04-20 21:49:46,1,201272
Myra,Balaz,Kimpton Hotels & Restaurants,Mechanical Engineer,584 MT EVANS STREETS STS,PISMO BEACH,CA,93446,805-555-1212,Myra.Balaz@test.com,Exhibitor,No,Yes,Member Told me,Shuttle bus,,2014-04-20 21:47:36,2014-04-20 21:47:36,1,200233
Indira,Ballesteros,Umpqua Bank,Developer,396 TOWN CENTER PASSAGE PSGE,S SEASIDE PK,NJ,08751,732-555-1212,Indira.Ballesteros@test.com,Press,Yes,Yes,Invite,I drove here,,2014-04-20 21:50:20,2014-04-20 21:50:20,1,201539
Pat,Ballintyn,PCL Construction,Cashier,685 COLONY HOLLOW HOLW,HOUSTON,TX,77044,713-555-1212,Pat.Ballintyn@test.com,Exhibitor,Yes,No,Email,I took a taxi here,,2014-04-20 21:50:41,2014-04-20 21:50:41,1,201703
Zoe,Ballman,Aflac,Executive Assistant,954 PROMONTORY UNIONS UNS,PONTIAC,MI,48309,248-555-1212,Zoe.Ballman@test.com,Set-Up,Yes,Yes,TV Ad,A friend brought me,,2014-04-20 21:49:54,2014-04-20 21:49:54,1,201331
Bridget,Balogh,National Instruments,Design Engineer,878 BEAVERTAIL EXTENSION EXT,BELLEVILLE,MI,49270,734-555-1212,Bridget.Balogh@test.com,Staff,Yes,Yes,A friend told me,I drove here,,2014-04-20 21:50:34,2014-04-20 21:50:34,1,201648
Sherita,Banales,The Everett Clinic,Registered Nurse,614 DOWNING VILLE VL,EAST MILLINOCKET,ME,04430,207-555-1212,Sherita.Banales@test.com,Attendee,Yes,No,Email,A friend brought me,,2014-04-20 21:48:44,2014-04-20 21:48:44,1,200776
Stephnie,Bania,Navy Federal Credit Union,Assistant Store Manager,412 HODGES MOUNTAINS MTNS,GORDON,AL,36370,334-555-1212,Stephnie.Bania@test.com,Staff,Yes,Yes,Google,I took the bus here,,2014-04-20 21:51:11,2014-04-20 21:51:11,1,201944
Etsuko,Banning,Zappos.com,Program Manager,507 KONA VIEW VW,PARKER,KS,66040,913-555-1212,Etsuko.Banning@test.com,Set-Up,No,No,TV Ad,I took the bus here,,2014-04-20 21:48:59,2014-04-20 21:48:59,1,200900
Merlin,Banse,Schweitzer Engineering Labs,Senior Engineer,961 OURAY SPUR SPUR,NOGALES,AZ,85624,520-555-1212,Merlin.Banse@test.com,Press,Yes,Yes,Invite,I took a taxi here,,2014-04-20 21:49:46,2014-04-20 21:49:46,1,201274
Gracie,Barillo,Robert W. Baird,Financial Analyst,676 SANDDOWN STRAVENUE STRA,ITASCA,IL,60439,630-555-1212,Gracie.Barillo@test.com,Exhibitor,Yes,No,Google,I took a taxi here,,2014-04-20 21:51:07,2014-04-20 21:51:07,1,201913
Guillermo,Bartell,Hasbro,Business Development Manager,895 AUTUMN ASH MEWS MEWS,PORTLAND,OR,97267,503-555-1212,Guillermo.Bartell@test.com,Speaker,Yes,No,Member Told me,I took the bus here,,2014-04-20 21:50:40,2014-04-20 21:50:40,1,201698
Reena,Barthel,Devon Energy,Cashier,797 STAY SAIL SQUARES SQS,BASKIN,LA,71295,318-555-1212,Reena.Barthel@test.com,Set-Up,Yes,No,A friend told me,Shuttle bus,,2014-04-20 21:48:11,2014-04-20 21:48:11,1,200522
Candy,Bartlone,Darden Restaurants,Programmer,652 SUNCREST WAY WAY,BIG ROCK,IL,60506,630-555-1212,Candy.Bartlone@test.com,Exhibitor,Yes,Yes,Invite,A friend brought me,,2014-04-20 21:48:47,2014-04-20 21:48:47,1,200806
Berniece,Bartolomei,OhioHealth,Branch Manager,984 EVENSTAR PARKS PARK,AGOURA HILLS,CA,91301,818-555-1212,Berniece.Bartolomei@test.com,Press,No,No,A friend told me,Shuttle bus,,2014-04-20 21:49:46,2014-04-20 21:49:46,1,201269
Malorie,Bartron,Baker Donelson,Operations Manager,164 VASQUES MANOR MNR,LAKEWOOD,CA,90805,562-555-1212,Malorie.Bartron@test.com,Set-Up,Yes,Yes,Member Told me,I took the bus here,,2014-04-20 21:49:32,2014-04-20 21:49:32,1,201159
Lauren,Bartylla,FactSet Research Systems,Branch Manager,737 PARKWOOD DRIVES DRS,GRANTSVILLE,UT,84029,435-555-1212,Lauren.Bartylla@test.com,Set-Up,Yes,Yes,TV Ad,Shuttle bus,,2014-04-20 21:49:04,2014-04-20 21:49:04,1,200937
Del,Baruch,Perkins Coie,Project Manager,737 SCHOOL HOUSE KEYS KYS,MARS HILL,IN,46241,317-555-1212,Del.Baruch@test.com,Press,No,Yes,Newspaper Ad,Shuttle bus,,2014-04-20 21:48:09,2014-04-20 21:48:09,1,200507
Lanell,Basemore,Darden Restaurants,Investment Banking Analyst,160 BEECH UNIONS UNS,CHESTER,IA,52155,563-555-1212,Lanell.Basemore@test.com,Press,No,Yes,TV Ad,I drove here,,2014-04-20 21:48:17,2014-04-20 21:48:17,1,200565
Deneen,Bastille,St. Jude Children's Research Hospital,Senior Accountant,184 ALPINE SHORE SHR,LAS VEGAS,NV,89104,702-555-1212,Deneen.Bastille@test.com,Set-Up,No,No,Invite,A friend brought me,,2014-04-20 21:49:37,2014-04-20 21:49:37,1,201199
Monet,Bateson,Google,Electrical Engineer,832 ARIKAREE LOAF LF,WASOLA,MO,65715,417-555-1212,Monet.Bateson@test.com,Staff,No,No,Email,I took the bus here,,2014-04-20 21:48:43,2014-04-20 21:48:43,1,200769
Elodia,Bathe,SRC,Assistant Vice President,577 OAK LEAF ANNEX ANX,BOALSBURG,PA,16802,814-555-1212,Elodia.Bathe@test.com,Exhibitor,Yes,Yes,TV Ad,Shuttle bus,,2014-04-20 21:48:51,2014-04-20 21:48:51,1,200830
Edwin,Bautz,Teach For America,Network Engineer,335 MARINA VALLEY VLY,MAGNOLIA,KY,42784,270-555-1212,Edwin.Bautz@test.com,Staff,No,Yes,Radio Ad,A friend brought me,,2014-04-20 21:47:20,2014-04-20 21:47:20,1,200107
Nannette,Bavelas,Baker Donelson,Pharmacist,898 WHITE ROCK SQUARES SQS,CARO,MI,48768,989-555-1212,Nannette.Bavelas@test.com,Staff,No,No,A friend told me,Shuttle bus,,2014-04-20 21:49:57,2014-04-20 21:49:57,1,201354
Dayle,Bawner,Booz Allen Hamilton,Programmer Analyst,769 KEYSTONE CREEK MOTORWAY MTWY,SCHELL CITY,MO,64750,417-555-1212,Dayle.Bawner@test.com,Staff,No,Yes,Email,I took the bus here,,2014-04-20 21:50:18,2014-04-20 21:50:18,1,201522
